schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,sparse_comm_enabled,sparse_metric,sparse_ratio,sparse_warmup_rounds,sparse_num_params_total,sparse_num_params_sent,sparse_compression_ratio,sparse_threshold,sparse_score_mean,sparse_score_p50,sparse_score_p90,sparse_sent_update_l2,sparse_dropped_update_l2,sparse_sent_update_fraction_l2,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,vi_kl_per_param,vi_scale_std,num_examples_train
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,30,2,2,,5,256,1149.213826751709,,2709.785477627533,2709.785477627533,,,3.666339737902569,0.025057410821318626,0.8804069676372204,3.666339737902569,,0.6931471805599453,1.6262933525338354,1149.213826751709,2709.785477627533,,2709.785477627533,7.73120882640265,0.050329527405732224,0.05037864111363888,0.051159192621707913,0.051239367574453354,0.399432783171894,0.3630886669272836,0.7755657756410765,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.026626564583153513,0.0006472763246653543,2
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,180,14,9,,5,256,1153.329055404663,,2714.532536595623,2714.532536595623,,,3.6694941558029797,0.02508765086531639,0.8794458832299722,3.6694941558029797,,-0.0,2.3096097079310103,1153.329055404663,2714.532536595623,,2714.532536595623,7.709025456511509,0.050333189540042546,0.05038542486727238,0.05116048827767372,0.051239095628261566,0.3981399800886465,0.36179076629886814,0.7742754765376003,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.026673209556800852,0.0006476812683814534,9
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,183,14,18,,5,256,1175.1267431259155,,2723.0888296283415,2723.0888296283415,,,3.675333458974233,0.024978967383503914,0.8794762815457742,3.675333458974233,,1.3727655308924485,0.9483462981176023,1175.1267431259155,2723.0888296283415,,2723.0888296283415,7.722211351017978,0.05033265618598068,0.05038439854979515,0.0511603556573391,0.05123899132013321,0.3983902320530594,0.3615839236759607,0.7736523373441667,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.026757284363057302,0.0006475478379678426,18
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,233,18,351,,5,256,2335.385240769386,,3907.0940998061114,3907.0940998061114,,,4.39209696241199,0.04599456489086151,0.8394825107482284,4.39209696241199,,-0.0,2.3277319754160017,2335.385240769386,3907.0940998061114,,3907.0940998061114,8.082819689990677,0.05050805762159054,0.05048932693898678,0.05187226571142674,0.052511125802993774,0.4123642031102266,0.3693099136164658,0.8084442332475599,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.0383914129881705,0.0009776007368134086,351
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,151,12,210,,5,256,1401.168719482422,,2790.0981442841585,2790.0981442841585,,,3.720675965792887,0.025034215301275253,0.8771725330931538,3.720675965792887,,0.14950144571405588,2.251522034186354,1401.168719482422,2790.0981442841585,,2790.0981442841585,7.748549014667802,0.0503299597706772,0.05038359761238098,0.05115749090909958,0.05123932287096977,0.3998185263208162,0.3620847424229492,0.7785184760937075,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.027415723143206824,0.0006477399964012455,210
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,24,1,27,,5,256,1195.5481410980224,,2724.621975720946,2724.621975720946,,,3.6764368090349366,0.025041580200195312,0.8788579436514737,3.6764368090349366,,1.3110298871791874,1.0210991742953581,1195.5481410980224,2724.621975720946,,2724.621975720946,7.706007722373661,0.05032944809676529,0.05038079991936684,0.051158779114484784,0.051239240914583206,0.3972597523716098,0.3604842066159526,0.77304392535607,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.026772349176780445,0.0006474751269916746,27
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,189,15,1,,5,256,1181.6602285861968,,2718.7258717590057,2718.7258717590057,,,3.6723666133457322,0.025077691301703453,0.8792939162033839,3.6723666133457322,,-0.0,2.3292713582565514,1181.6602285861968,2718.7258717590057,,2718.7258717590057,7.710514232742704,0.05033113691010298,0.050382522866129875,0.051161238178610804,0.05123922973871231,0.3978930888511311,0.3604353038015905,0.7752234629097111,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.026714413596924495,0.0006482642765747408,1
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,237,19,36,,5,256,1216.9968639373778,,2724.8060149236994,2724.8060149236994,,,3.676566830596174,0.024982649832963943,0.8788610452241986,3.676566830596174,,1.3898628753106193,0.9179151593699346,1216.9968639373778,2724.8060149236994,,2724.8060149236994,7.706375318319436,0.050330879338985404,0.05038098059594631,0.051158659160137177,0.051238883286714554,0.39782811003177887,0.35987530625772673,0.7738206631380664,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.0267741575604176,0.0006466193062724768,36
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,117,9,8,,5,256,1185.265990638733,,2703.7861468800797,2703.7861468800797,,,3.6621408538550946,0.025002779439091682,0.8805403811967909,3.6621408538550946,,0.5623351446188083,1.7518051301834499,1185.265990638733,2703.7861468800797,,2703.7861468800797,7.726424953803191,0.05033294885275909,0.05038589797914028,0.05116087719798088,0.05123899132013321,0.39903879937935177,0.3623085918287941,0.775191862743018,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.02656761468880888,0.0006484909714095961,8
bayesfl_observability_v1,vi_update_snr_prune075_keep025_seed42,1,vi,252,20,369,,5,256,2490.0569128990173,,3947.6379692398123,3947.6379692398123,,,4.415230426061808,0.04533730447292328,0.8383642099379736,4.415230426061808,,1.0683684981935357,1.1688247118610566,2490.0569128990173,3947.6379692398123,,3947.6379692398123,8.099695004281688,0.05050252112238308,0.050483040511608124,0.05186916291713715,0.05252007395029068,0.4127502678524646,0.36969298160675296,0.8111391005857188,,,,,,,,,,,,,,,,0,update_snr,0.25,20,,,,,,,,,,,,,,,,,,,0.038789800228356215,0.000977858002442043,369
