run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,learning_rate,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,sparse_total_coordinates,sparse_score_threshold,sparse_score_mean,sparse_selected_score_mean,sparse_dropped_score_mean
fig2_default_proposed_rep00_seed12025,1,1,1,precision,0,57,154.96644013227524,2.757528472364995,2.757528472364995,0.0,1,,10000.000000000062,9999.99999762979,10000.000002477336,1.0517172888705987e-05,2.4773362383712083e-06,0.9994490146636963,0.0001752862210352517,4.1288939943012064e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,1,42,190.8422478688452,1.7593673706054687,1.7593673706054687,0.0,1,,9999.99999999993,9999.99999881005,10000.000002050141,7.695065812657793e-06,2.0501411199802533e-06,0.9987186193466187,0.00012825109430542031,3.416901187315745e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,2,44,186.7160387868168,2.761562139337713,2.761562139337713,0.0,1,,10000.0,9999.999999061514,10000.000001550745,8.360772616144227e-06,1.5507448551943526e-06,0.9992311596870422,0.0001393462186455167,2.5845754854617165e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,3,48,48.8084696173102,2.6606348037719725,2.6606348037719725,0.0,1,,10000.000000000062,9999.999998824624,10000.000000980692,9.124495354609754e-06,1.175376382889226e-06,0.998923659324646,0.00015207491059452476,1.9589607335199803e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,4,55,158.4991524661853,2.114281560724432,2.114281560724432,0.0,1,,9999.999999999935,9999.99999885399,10000.000001849166,8.884330153544579e-06,1.8491664377506822e-06,0.9993336796760559,0.00014807215993234811,3.0819448501419317e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,5,58,174.2546140238567,2.6690133982691275,2.6690133982691275,0.0,1,,9999.99999999985,9999.999998516527,10000.0000012106,1.0679533641058004e-05,1.4834731700830162e-06,0.9994105696678162,0.00017799223335957916,2.4724563064153106e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,6,55,161.9794984667968,1.7907983398437497,1.7907983398437497,0.0,1,,9999.999999999904,9999.99999834379,10000.000000788594,9.94457040020569e-06,1.6562098608119413e-06,0.9991030693054199,0.00016574284502143192,2.7603486813973593e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,7,55,15.946149824897818,2.3628263161399152,2.3628263161399152,0.0,1,,9999.999999999718,9999.999998378518,10000.000002089208,1.0629088550964737e-05,2.0892075554002076e-06,0.9996412396430969,0.000177151468961625,3.482012539087263e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,8,47,120.98949031468518,1.7161772058365192,1.7161772058365192,0.0,1,,10000.00000000012,9999.99999895265,10000.000001184238,6.933214866637676e-06,1.1842384992633015e-06,0.9990389943122864,0.0001155535745457145,1.9737299231357656e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,9,47,146.23854371638723,2.5152458353245515,2.5152458353245515,0.0,1,,10000.000000000007,9999.999998998826,10000.000001890345,8.620478893559872e-06,1.8903447198681533e-06,0.999461829662323,0.00014367464544416656,3.150575080273443e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,10,39,137.16380619341038,2.5206512451171874,2.5206512451171874,0.0,1,,10000.000000000042,9999.999998735077,10000.000001115362,7.228659105445193e-06,1.264923412236385e-06,0.9994233846664429,0.00012047765685899767,2.1082056959542198e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,11,41,185.3568799863515,2.677811450493045,2.677811450493045,0.0,1,,9999.999999999947,9999.999998921368,10000.000001001377,7.814333509541048e-06,1.0786316124722362e-06,0.9993593096733093,0.00013023888329695963,1.7977198229182757e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,12,48,146.71373703974692,2.7071856816609703,2.7071856816609703,0.0,1,,10000.00000000009,9999.999998912024,10000.000001944334,9.693817398906846e-06,1.944334144354798e-06,0.9993080496788025,0.00016156361409466708,3.24055614061173e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,13,43,110.58934315816717,2.7176728004632995,2.7176728004632995,0.0,1,,10000.000000000025,9999.999997843906,10000.000000839605,7.57831040618264e-06,2.1560936147579923e-06,0.9991286993026733,0.00012630517207768774,3.593490026810999e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,14,64,119.94165958852787,1.9260793685913087,1.9260793685913087,0.0,1,,10000.000000000262,9999.999998716748,10000.000001374763,1.1153179893602047e-05,1.3747630873695016e-06,0.9993593096733093,0.00018588633047362317,2.291271769101646e-05,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
