schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,ola_fisher_std,ola_precision_std,ola_precision_min,ola_precision_p10,ola_precision_p25,ola_precision_p75,ola_precision_p95,ola_precision_max,ola_sigma_std,ola_sigma_min,ola_sigma_p10,ola_sigma_p25,ola_sigma_p75,ola_sigma_p95,ola_sigma_max,ola_snr_raw_std,ola_snr_raw_min,ola_snr_raw_p10,ola_snr_raw_p25,ola_snr_raw_p75,ola_snr_raw_p95,ola_snr_raw_max,num_examples_train
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,117,9,8,2,2,32,2.215051293373108,2.215051293373108,2.618858905775734e-12,2.618858905775734e-14,0.375,2.215051293373108,0.06271388328743971,0.006475597620010376,0.9999573072968428,0.06271388328743971,,0.5623351446188083,1.7518051301834499,,,,,,,,,,,,,2.215051293373108,2.618858905775734e-12,0.00039205507403374803,4.588237788993865e-05,0.0006483194767497486,0.41944992542266846,0.001392055126747148,0.0010458824690431356,0.0016483195242471998,29.313423245085755,30.921358108520508,31.61724681854248,0.0006518384951348647,0.0006126892773360717,0.0011041522142304317,,,,,,,,,16.0,0.0036483893815956884,0.0036483893410993815,0.0010000000474974513,0.001000349852256477,0.0010039490880444646,0.0011824936955235898,0.002559021022170778,0.4204499125480652,4.030723036971118,1.5422077178955078,24.6308443069458,29.080413818359375,31.5605206489563,31.622695922851562,31.62277603149414,0.0005746848738573133,8.880895049886839e-09,0.0001238962848798263,0.0003090339234773869,0.0009210436441372789,0.0012216533653569986,0.04125786985942709,8
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,50,4,13,2,2,32,2.311556100845337,2.311556100845337,1.841339797650776e-12,1.841339797650776e-14,0.0,2.311556100845337,0.05323794004955395,0.005915626883506775,0.9999692322526565,0.05323794004955395,,0.8953326659680909,1.3255516450199865,,,,,,,,,,,,,2.311556100845337,1.841339797650776e-12,0.00028043671325800464,3.738753730431199e-05,0.0004439209937118009,0.35000234842300415,0.0012804367627071924,0.0010373876430094242,0.001443921099416913,29.735289367777174,31.04770278930664,31.62150764465332,0.0006343257153037811,0.0006034196090831144,0.0010887375537652654,,,,,,,,,26.0,0.002357668561885069,0.0023576685411076347,0.0010000000474974513,0.00100008025765419,0.0010037196334451437,0.0011465445859357715,0.0017773311119526625,0.3510023355484009,3.377255491054167,1.6878933906555176,26.316508674621584,29.532793045043945,31.56412696838379,31.62277603149414,31.62277603149414,0.0005337343152081023,1.287253395706812e-08,0.00012138769190921822,0.0003038029867685238,0.0009081282044508404,0.0011680426980911934,0.0396091182650016,13
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,24,1,27,2,2,32,2.144912362098694,2.144912362098694,1.1119791068839313e-12,1.1119791068839313e-14,0.2962962962962963,2.144912362098694,0.04193920346840911,0.003969810903072357,0.9999809086332933,0.04193920346840911,,1.3110298871791874,1.0210991742953581,,,,,,,,,,,,,2.144912362098694,1.1119791068839313e-12,0.0001733524194769983,2.0476138161029667e-05,0.0003165080852340908,0.15767300128936768,0.0011733524690685912,0.001020476222038269,0.0013165081385523082,30.202481063522477,31.303908348083496,31.61583709716797,0.0006170291494032034,0.0005938639950197149,0.0010716280818312222,,,,,,,,,54.0,0.0013494462078929798,0.0013494462173494028,0.0010000000474974513,0.0010004390496760607,0.0010030379053205252,0.001077310589607805,0.0017529144766740483,0.1586730033159256,2.87160071702143,2.510432243347168,27.56057205200195,30.466989040374756,31.574851989746094,31.620161056518555,31.62277603149414,0.00046920556685477475,1.325014805772813e-10,0.00012032488725751645,0.0002996576206669836,0.0008936306081650485,0.0011306787759870814,0.03129776157326403,27
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,180,14,9,2,2,32,2.0939947962760925,2.0939947962760925,3.3874311775733412e-12,3.387431177573341e-14,0.3888888888888889,2.0939947962760925,0.07188859988099408,0.009063154458999634,0.9999439107445951,0.07188859988099408,,-0.0,2.3096097079310103,,,,,,,,,,,,,2.0939947962760925,3.3874311775733412e-12,0.0005128678168250039,4.76835120934993e-05,0.0008366659458260993,0.8238427639007568,0.0015128678645279013,0.0010476835304871202,0.0018366659875027845,29.114329698962663,30.89476776123047,31.618627548217773,0.0006641818514522065,0.0006173874310831855,0.0011116221648661505,,,,,,,,,18.0,0.0064714073407950165,0.0064714072189686065,0.0010000000474974513,0.0010002624476328492,0.001004176214337349,0.0011927438899874687,0.0025528185069561005,0.8248427510261536,4.319444403869506,1.1010687351226807,23.333770751953125,28.955188751220703,31.556949615478516,31.622652053833008,31.62277603149414,0.0007136290615629654,1.606700924478958e-09,0.00012493807085148492,0.00031017853116166645,0.0009266988042844863,0.0012688169468991542,0.0683347125632497,9
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,183,14,18,2,2,32,2.2575597763061523,2.2575597763061523,1.214186520423488e-12,1.2141865204234881e-14,0.05555555555555555,2.2575597763061523,0.04346046359576363,0.004289362579584122,0.999979496311621,0.04346046359576363,,1.3727655308924485,0.9483462981176023,,,,,,,,,,,,,2.2575597763061523,1.214186520423488e-12,0.00018628404435398654,2.4118278815876693e-05,0.0002907112910179423,0.18407399952411652,0.001186284090890028,0.0010241183335892856,0.0012907113414257767,30.154479869341845,31.248194694519043,31.617399215698242,0.0006189274414282017,0.0005950011036018609,0.0010734239101715711,,,,,,,,,36.0,0.0015052475659466625,0.001505247580824694,0.0010000000474974513,0.0010003402130678296,0.001003336743451655,0.0010960913496091962,0.0017330855189356936,0.18507400155067444,2.906276630093614,2.3244879245758057,27.83462944030762,30.204845428466797,31.57015037536621,31.622209548950195,31.62277603149414,0.00047418703762249355,1.0650036210839444e-08,0.00012040125515588481,0.00030015140356280375,0.0008948636866854019,0.0011344088778478861,0.02743377300135848,18
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,263,21,214,14,2,32,1.5957937151472146,1.5957937151472146,1.351487119257087e-10,1.351487119257087e-12,0.6144859813084113,1.5957937151472146,0.28317150771521826,0.0435132160782814,0.9991322225674689,0.28317150771521826,,0.7768433258123565,1.5365177254738465,,,,,,,,,,,,,1.5957937151472146,1.351487119257087e-10,0.00019977314167049718,3.12193988065701e-05,0.00030819936364423505,0.41825345158576965,0.0011997731896249107,0.001031219435390085,0.001308199390769005,30.089827349761784,31.140419006347656,31.590089797973633,0.0006235536628822504,0.0005967526820044372,0.0010751965137462593,,,,,,,,,428.0,0.002389228621304148,0.0023892286087719827,0.001000140095129609,0.0010020704939961433,0.0010072020813822746,0.0011021298123523593,0.001720948156435042,0.4192534387111664,2.8734932218911835,1.544406771659851,27.647955322265627,30.121986865997314,31.50951385498047,31.604995727539062,31.620561599731445,0.0005832795544056135,2.487979280834369e-09,0.0001199875936068902,0.0003005153249901165,0.0008974903392267022,0.0011367577067880972,0.05013652981001925,214
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,267,21,306,20,2,32,1.4291114647404042,1.4291114647404042,2.4434749757320694e-10,2.4434749757320693e-12,0.7107843137254902,1.4291114647404042,0.3719409063781138,0.05592367798089981,0.9985051591424668,0.3719409063781138,,0.49629795412582844,1.8891532045272958,,,,,,,,,,,,,1.4291114647404042,2.4434749757320694e-10,0.00017258940068926474,2.859522010112414e-05,0.00032111137988977134,0.3262030780315399,0.0011725894489254753,0.0010285952594131231,0.001321111456491053,30.222776210137056,31.180116653442383,31.588960647583008,0.0006201324376509411,0.0005938389150906881,0.0010707498198988118,,,,,,,,,612.0,0.0020892929430688222,0.0020892929347252954,0.0010000861948356032,0.001002142089419067,0.0010081531945616007,0.0010932177538052201,0.0015466472890693693,0.32720306515693665,2.5795852215463992,1.74820077419281,27.512514114379883,30.24451732635498,31.494646072387695,31.602937698364258,31.621414184570312,0.0006643565647358751,1.0833897621989167e-08,0.00011991117224337792,0.0002998227205382648,0.0008938477585361398,0.0011308545146316113,0.07919650846901338,306
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,233,18,351,22,2,32,0.6324399655891789,0.6324399655891789,3.7732370324540145e-10,3.773237032454014e-12,0.9843304843304843,0.6324399655891789,0.3984234275557594,0.06584794819355011,0.9982879563678766,0.3984234275557594,,-0.0,2.3277319754160017,,,,,,,,,,,,,0.6324399655891789,3.7732370324540145e-10,0.0001804963662266497,2.2508788788400125e-05,0.0002663253573700786,0.45159661769866943,0.001180496413677629,0.0010225088335573673,0.0012663254281505942,30.248425946391915,31.272778511047363,31.6081485748291,0.0006204569053490952,0.0005936704731237102,0.0010710080548056661,,,,,,,,,702.0,0.0025476862221848655,0.0025476862022711998,0.0010000014444813132,0.001000925782136619,0.0010045600356534123,0.0010917745530605316,0.0016315877437591553,0.45259660482406616,2.6741375792466866,1.4864296913146973,28.10135898590088,30.264501571655273,31.550922393798828,31.619273281097414,31.622753143310547,0.0006462849211150335,5.95002062466795e-09,0.00011987124304376471,0.0002984913736590165,0.0008926960833913608,0.0011300984040975208,0.05680431934166762,351
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,252,20,369,24,2,32,1.615172209455392,1.615172209455392,2.522365471508506e-10,2.5223654715085063e-12,0.7208672086720868,1.615172209455392,0.3910593365232898,0.03840336948633194,0.9983492150125092,0.3910593365232898,,1.0683684981935357,1.1688247118610566,,,,,,,,,,,,,1.615172209455392,2.522365471508506e-10,0.0001339156048909825,3.1464991479879245e-05,0.00021541306050494325,0.10763674974441528,0.0011339156528369471,0.001031465013511479,0.0012154131312854589,30.368398697127688,31.13671112060547,31.55118808746338,0.0006134820744773183,0.0005916364947702211,0.0010661799193934065,,,,,,,,,738.0,0.0010825945483941132,0.001082594552783482,0.0010002641938626766,0.0010045431088656187,0.0010097031481564045,0.001088940305635333,0.0014296235574875018,0.1086367517709732,2.255372661762504,3.0339725017547607,28.68388900756836,30.303861141204834,31.470462799072266,31.581424713134766,31.618600845336914,0.0005136883999822716,3.045194107443688e-09,0.00011964440947117289,0.0002975839838489506,0.0008883057287153769,0.0011253067435582891,0.037159417465980775,369
bayesfl_observability_v1,ola_lr0p005_b32_e2_lam0p01_pinit0p001_fclip10p0,1,ola,30,2,2,2,2,32,2.1869053840637207,2.1869053840637207,3.1947307212870646e-12,3.194730721287065e-14,0.0,2.1869053840637207,0.06852784418761505,0.005957953631877899,0.9999490274684701,0.06852784418761505,,0.6931471805599453,1.6262933525338354,,,,,,,,,,,,,2.1869053840637207,3.1947307212870646e-12,0.00047403900881707776,4.681882637669332e-05,0.0005062374984845519,0.35643064975738525,0.0014740390648231788,0.0010468189138919115,0.0015062375459820032,29.33099387874652,30.90752410888672,31.62277603149414,0.0006597314324292212,0.0006126961752864315,0.0011025066027532235,,,,,,,,,4.0,0.0033165755723289143,0.0033165755870763675,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0011583222076296806,0.0030770315788686275,0.357430636882782,4.393532048286196,1.6726462841033936,25.76637077331543,29.382266998291016,31.62277603149414,31.62277603149414,31.62277603149414,0.0006118974392045569,7.428293820073346e-10,0.0001235702964343479,0.000308215316483683,0.0009206450713253834,0.0012260495850693791,0.04037876659498779,2
