run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,learning_rate,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2,sparse_enabled,sparse_selection,sparse_keep_ratio,sparse_kept_coordinates,sparse_total_coordinates,sparse_score_threshold,sparse_score_mean,sparse_selected_score_mean,sparse_dropped_score_mean
fig2_default_proposed_rep00_seed12025,1,1,1,precision,0,57,154.96644013227524,2.668711076702988,2.668711076702988,0.0,1,,10000.073477299784,8854.69140625,12934.681640625,8521.549452245703,2934.681640625,0.9870838779118936,7.060551288007577,2.1544687747955322,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,1,42,190.8422478688452,1.830889383951823,1.830889383951823,0.0,1,,9999.998778302068,8625.169921875,11078.7626953125,6556.743034958636,1374.830078125,0.9845852233412777,5.5083139594797075,1.2389140129089355,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,2,44,186.7160387868168,2.7708877216685903,2.7708877216685903,0.0,1,,10000.042735076746,8869.193359375,11345.2119140625,6783.021254460074,1345.2119140625,0.9899028728120756,5.670245812696973,1.0568653345108032,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,3,48,48.8084696173102,2.691319465637207,2.691319465637207,0.0,1,,10000.008214977592,8304.5859375,11697.4501953125,7644.248770063255,1697.4501953125,0.9879808308346788,6.413479352447961,1.556269645690918,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,4,55,158.4991524661853,2.192861383611506,2.192861383611506,0.0,1,,10000.068352279963,8953.025390625,11664.0986328125,7436.86819648082,1664.0986328125,0.9906332487634864,6.189802861672463,1.2889403104782104,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,5,58,174.2546140238567,2.7063185593177534,2.7063185593177534,0.0,1,,9999.93431394013,8301.7041015625,11051.69921875,8413.326622965855,1698.2958984375,0.9908126393480433,7.081963215675547,1.5591819286346436,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,6,55,161.9794984667968,1.9019840587269177,1.9019840587269177,0.0,1,,10000.011635962046,9001.7470703125,10885.466796875,8184.71183024416,998.2529296875,0.9857128213013505,6.853840901395305,0.8808895945549011,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,7,55,15.946149824897818,2.433982987837358,2.433982987837358,0.0,1,,9999.951043350957,8848.7958984375,11519.677734375,8303.833849170987,1519.677734375,0.9887752748520028,6.955971409399344,1.1846321821212769,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,8,47,120.98949031468518,1.737938901211353,1.737938901211353,0.0,1,,10000.04692297597,9108.55078125,11225.65625,5634.9599613050095,1225.65625,0.9879808308346788,4.713331426352697,0.968161940574646,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
fig2_default_proposed_rep00_seed12025,1,1,1,precision,9,47,146.23854371638723,2.5416965890438,2.5416965890438,0.0,1,,10000.062666889804,8866.6279296875,11703.982421875,7524.198073711883,1703.982421875,0.9882755439378796,6.293339528867333,1.3175153732299805,0.0,0.0,False,,1.0,0,0,nan,nan,nan,nan
